episode_id,suite,task_id,arm,baseline_success,first_success_attempt,intervention_iterations_to_success,censored_after_attempt,provider_calls_through_success_or_cap,reset_audit_sha256,source_summary_sha256,workflow,worker
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,random_noise,False,,,5,0,fd66119ea0869f04ee68a11503a14d4969163e63ba224ce4c5d965adb1b51014,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,astra-pi05-interventions-eval-20260924-1,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,noise_only,False,,,5,4,fd66119ea0869f04ee68a11503a14d4969163e63ba224ce4c5d965adb1b51014,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,astra-pi05-interventions-eval-20260924-1,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,language_only,False,,,5,4,fd66119ea0869f04ee68a11503a14d4969163e63ba224ce4c5d965adb1b51014,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,astra-pi05-interventions-eval-20260924-1,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,vision_only,False,,,5,4,fd66119ea0869f04ee68a11503a14d4969163e63ba224ce4c5d965adb1b51014,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,astra-pi05-interventions-eval-20260924-1,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,noise_language,False,,,5,4,fd66119ea0869f04ee68a11503a14d4969163e63ba224ce4c5d965adb1b51014,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,astra-pi05-interventions-eval-20260924-1,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,noise_vision,False,,,5,4,fd66119ea0869f04ee68a11503a14d4969163e63ba224ce4c5d965adb1b51014,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,astra-pi05-interventions-eval-20260924-1,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,language_vision,False,,,5,4,fd66119ea0869f04ee68a11503a14d4969163e63ba224ce4c5d965adb1b51014,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,astra-pi05-interventions-eval-20260924-1,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,joint,False,,,5,4,fd66119ea0869f04ee68a11503a14d4969163e63ba224ce4c5d965adb1b51014,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,astra-pi05-interventions-eval-20260924-1,0
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,random_noise,True,1,0,,0,7b3a23297994ce4108d27bce7db3153d2169c07219f1f57d809f48edf4d58600,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,astra-pi05-interventions-eval-20260924-1,1
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,noise_only,True,1,0,,0,7b3a23297994ce4108d27bce7db3153d2169c07219f1f57d809f48edf4d58600,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,astra-pi05-interventions-eval-20260924-1,1
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,language_only,True,1,0,,0,7b3a23297994ce4108d27bce7db3153d2169c07219f1f57d809f48edf4d58600,046fcefb878601aa9111f1187dc7290b61ba93fc0971904726749105bc1212c7,astra-pi05-interventions-eval-20260924-1,1
