episode_id,suite,task_id,arm,baseline_success,first_success_attempt,intervention_iterations_to_success,censored_after_attempt,rescued,winning_candidate_id,winning_requested_nonzero_channels,winning_proposal_sha256,winning_rollout_actions,proposal_failures,provider_calls_through_success_or_cap,failed_calls_through_success_or_cap,observed_input_tokens_through_success_or_cap,input_tokens_complete,input_tokens_missing_calls,observed_output_tokens_through_success_or_cap,output_tokens_complete,output_tokens_missing_calls,observed_reasoning_tokens_through_success_or_cap,reasoning_tokens_complete,reasoning_tokens_missing_calls,observed_total_tokens_through_success_or_cap,total_tokens_complete,total_tokens_missing_calls
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,random_noise,False,,,5,False,,,,,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,noise_only,False,,,5,False,,,,,0,4,0,16083,True,0,1164,True,0,0,True,0,17247,True,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,language_only,False,,,5,False,,,,,0,4,0,15445,True,0,1114,True,0,153,True,0,16559,True,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,vision_only,False,,,5,False,,,,,1,4,1,14946,True,0,1210,True,0,216,True,0,16156,True,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,noise_language,False,,,5,False,,,,,0,4,0,16623,True,0,1521,True,0,212,True,0,18144,True,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,noise_vision,False,,,5,False,,,,,0,4,0,16398,True,0,1671,True,0,317,True,0,18069,True,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,language_vision,False,,,5,False,,,,,0,4,0,15727,True,0,1487,True,0,310,True,0,17214,True,0
libero_goal_ood:seed19:task0:state0,libero_goal_ood,0,joint,False,,,5,False,,,,,0,4,0,16808,True,0,1983,True,0,476,True,0,18791,True,0
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,random_noise,True,1,0,,False,reversal_identity,,,72,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,noise_only,True,1,0,,False,reversal_identity,,,72,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,language_only,True,1,0,,False,reversal_identity,,,72,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,vision_only,True,1,0,,False,reversal_identity,,,72,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,noise_language,True,1,0,,False,reversal_identity,,,72,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,noise_vision,True,1,0,,False,reversal_identity,,,72,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,language_vision,True,1,0,,False,reversal_identity,,,72,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task1:state0,libero_goal_ood,1,joint,True,1,0,,False,reversal_identity,,,72,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task2:state0,libero_goal_ood,2,random_noise,False,,,5,False,,,,,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task2:state0,libero_goal_ood,2,noise_only,False,,,5,False,,,,,0,4,0,16185,True,0,1190,True,0,0,True,0,17375,True,0
libero_goal_ood:seed19:task2:state0,libero_goal_ood,2,language_only,False,,,5,False,,,,,0,4,0,15576,True,0,1178,True,0,197,True,0,16754,True,0
libero_goal_ood:seed19:task2:state0,libero_goal_ood,2,vision_only,False,,,5,False,,,,,0,4,0,15353,True,0,1404,True,0,363,True,0,16757,True,0
libero_goal_ood:seed19:task2:state0,libero_goal_ood,2,noise_language,False,,,5,False,,,,,1,4,1,15674,True,0,1511,True,0,163,True,0,17185,True,0
libero_goal_ood:seed19:task2:state0,libero_goal_ood,2,noise_vision,False,,,5,False,,,,,0,4,0,16643,True,0,1668,True,0,274,True,0,18311,True,0
libero_goal_ood:seed19:task2:state0,libero_goal_ood,2,language_vision,False,,,5,False,,,,,0,4,0,15799,True,0,1416,True,0,295,True,0,17215,True,0
libero_goal_ood:seed19:task2:state0,libero_goal_ood,2,joint,False,,,5,False,,,,,0,4,0,17019,True,0,2003,True,0,426,True,0,19022,True,0
libero_goal_ood:seed19:task3:state0,libero_goal_ood,3,random_noise,False,,,5,False,,,,,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
libero_goal_ood:seed19:task3:state0,libero_goal_ood,3,noise_only,False,,,5,False,,,,,0,4,0,16127,True,0,1215,True,0,0,True,0,17342,True,0
libero_goal_ood:seed19:task3:state0,libero_goal_ood,3,language_only,False,,,5,False,,,,,0,4,0,15495,True,0,1252,True,0,280,True,0,16747,True,0
libero_goal_ood:seed19:task3:state0,libero_goal_ood,3,vision_only,False,,,5,False,,,,,0,4,0,15313,True,0,1331,True,0,311,True,0,16644,True,0
libero_goal_ood:seed19:task3:state0,libero_goal_ood,3,noise_language,False,,,5,False,,,,,0,4,0,16555,True,0,1519,True,0,173,True,0,18074,True,0
libero_goal_ood:seed19:task3:state0,libero_goal_ood,3,noise_vision,False,,,5,False,,,,,0,4,0,16552,True,0,1637,True,0,239,True,0,18189,True,0
libero_goal_ood:seed19:task3:state0,libero_goal_ood,3,language_vision,False,,,5,False,,,,,0,4,0,15744,True,0,1482,True,0,378,True,0,17226,True,0
libero_goal_ood:seed19:task3:state0,libero_goal_ood,3,joint,False,,,5,False,,,,,0,4,0,16758,True,0,1747,True,0,267,True,0,18505,True,0
libero_goal_ood:seed19:task4:state0,libero_goal_ood,4,random_noise,True,1,0,,False,reversal_identity,,,83,0,0,0,0,True,0,0,True,0,0,True,0,0,True,0
