episode_id,suite,arm,iteration,attempt_success,decision_index,observation_step,accepted,provider_call,error_kind,decision_id,source_pair_changed,alpha_changed,vision_annotations,source_a_id,source_b_id,alpha,input_tokens,output_tokens,reasoning_tokens,total_tokens
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,1,0,True,True,,astra_tei_2_d1,False,False,0,14,13,0.15,4005,215,0,4220
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,2,25,True,True,,astra_tei_2_d2,False,False,0,14,13,0.15,5273,211,0,5484
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,3,50,True,True,,astra_tei_2_d3,False,True,0,14,13,0.45,5539,272,39,5811
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,4,75,True,True,,astra_tei_2_d4,False,True,0,14,13,0.8,5835,244,0,6079
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,5,100,True,True,,astra_tei_2_d5,False,True,0,14,13,1.0,6104,243,0,6347
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,6,125,True,True,,astra_tei_2_d6,False,True,0,14,13,0.35,6400,286,32,6686
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,7,150,True,True,,astra_tei_2_d7,False,False,0,14,13,0.35,6714,248,0,6962
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,8,175,False,True,proposal_rejected,,False,False,0,,,,6992,297,51,7289
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,9,200,True,True,,astra_tei_2_d9,False,False,0,14,13,0.35,7038,243,0,7281
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,10,225,True,True,,astra_tei_2_d10,False,True,0,14,13,0.15,7321,284,38,7605
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,11,250,True,True,,astra_tei_2_d11,False,False,0,14,13,0.15,7612,227,0,7839
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,2,False,12,275,True,True,,astra_tei_2_d12,False,True,0,14,13,0.55,7898,285,37,8183
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,1,0,True,True,,astra_tei_3_d1,False,False,0,14,13,0.4,7241,238,0,7479
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,2,25,True,True,,astra_tei_3_d2,False,False,0,14,13,0.4,8529,253,0,8782
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,3,50,True,True,,astra_tei_3_d3,False,True,0,14,13,0.8,8841,295,31,9136
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,4,75,True,True,,astra_tei_3_d4,False,True,0,14,13,0.3,9136,306,51,9442
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,5,100,True,True,,astra_tei_3_d5,False,True,0,14,13,0.0,9435,289,35,9724
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,6,125,True,True,,astra_tei_3_d6,True,True,0,14,10,1.0,9739,383,116,10122
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,7,150,True,True,,astra_tei_3_d7,False,False,0,14,10,1.0,10066,257,0,10323
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,8,175,True,True,,astra_tei_3_d8,True,True,0,14,13,0.15,10347,303,32,10650
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,9,200,True,True,,astra_tei_3_d9,False,True,0,14,13,0.0,10679,274,0,10953
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,10,225,True,True,,astra_tei_3_d10,False,True,0,14,13,0.55,11004,306,45,11310
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,11,250,True,True,,astra_tei_3_d11,False,True,0,14,13,0.85,11313,294,38,11607
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tei,3,False,12,275,True,True,,astra_tei_3_d12,False,True,0,14,13,1.0,11608,297,29,11905
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,1,0,True,True,,astra_tli_2_d1,False,False,0,14,13,0.15,4017,239,0,4256
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,2,25,True,True,,astra_tli_2_d2,False,False,0,14,13,0.15,5311,242,0,5553
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,3,50,True,True,,astra_tli_2_d3,False,True,0,14,13,0.4,5594,292,43,5886
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,4,75,True,True,,astra_tli_2_d4,False,True,0,14,13,0.8,5886,269,0,6155
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,5,100,True,True,,astra_tli_2_d5,False,False,0,14,13,0.8,6218,253,0,6471
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,6,125,True,True,,astra_tli_2_d6,False,True,0,14,13,1.0,6517,330,44,6847
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,7,150,True,True,,astra_tli_2_d7,True,True,0,10,13,0.9,6839,321,42,7160
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,8,175,True,True,,astra_tli_2_d8,True,True,0,14,13,0.5,7173,318,24,7491
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,9,200,True,True,,astra_tli_2_d9,False,True,0,14,13,0.2,7506,413,112,7919
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,10,225,True,True,,astra_tli_2_d10,False,True,0,14,13,0.85,7858,287,0,8145
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,11,250,True,True,,astra_tli_2_d11,True,True,0,10,13,1.0,8191,362,77,8553
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,2,False,12,275,True,True,,astra_tli_2_d12,True,True,0,14,13,0.35,8529,396,92,8925
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,3,True,1,0,True,True,,astra_tli_3_d1,False,False,0,14,18,0.15,7940,332,52,8272
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,3,True,2,25,True,True,,astra_tli_3_d2,False,False,0,14,18,0.15,9268,288,0,9556
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,3,True,3,50,True,True,,astra_tli_3_d3,False,True,0,14,18,0.25,9607,352,48,9959
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,3,True,4,75,True,True,,astra_tli_3_d4,True,True,0,18,13,0.85,9952,351,43,10303
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli,3,True,5,100,True,True,,astra_tli_3_d5,False,False,0,18,13,0.85,10310,301,0,10611
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli_vision,2,False,1,0,True,True,,astra_tli_vision_2_d1,False,False,1,14,13,0.15,4021,255,0,4276
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli_vision,2,False,2,25,True,True,,astra_tli_vision_2_d2,False,False,1,14,13,0.15,5347,250,0,5597
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli_vision,2,False,3,50,True,True,,astra_tli_vision_2_d3,False,True,1,14,13,0.35,5643,293,30,5936
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli_vision,2,False,4,75,True,True,,astra_tli_vision_2_d4,False,True,1,14,13,0.8,5967,278,0,6245
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli_vision,2,False,5,100,True,True,,astra_tli_vision_2_d5,False,True,1,14,13,0.9,6303,336,57,6639
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli_vision,2,False,6,125,True,True,,astra_tli_vision_2_d6,False,True,0,14,13,0.5,6630,406,120,7036
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli_vision,2,False,7,150,True,True,,astra_tli_vision_2_d7,True,True,0,10,13,0.8,6974,336,38,7310
libero_goal_ood:seed19:task6:state0,libero_goal_ood,astra_tli_vision,2,False,8,175,True,True,,astra_tli_vision_2_d8,False,True,0,10,13,1.0,7310,323,29,7633
